********************************************************************************
Testing Performance.......
********************************************************************************
Episode 0000001 : Steps = 199, Reward = 200.00
Episode 0000002 : Steps = 199, Reward = 200.00
Episode 0000003 : Steps = 199, Reward = 200.00
Episode 0000004 : Steps = 199, Reward = 200.00
Episode 0000005 : Steps = 199, Reward = 200.00
Episode 0000006 : Steps = 199, Reward = 200.00
Episode 0000007 : Steps = 199, Reward = 200.00
Episode 0000008 : Steps = 199, Reward = 200.00
Episode 0000009 : Steps = 199, Reward = 200.00
Episode 0000010 : Steps = 199, Reward = 200.00
Episode 0000011 : Steps = 199, Reward = 200.00
Episode 0000012 : Steps = 199, Reward = 200.00
Episode 0000013 : Steps = 199, Reward = 200.00
Episode 0000014 : Steps = 199, Reward = 200.00
Episode 0000015 : Steps = 199, Reward = 200.00
Episode 0000016 : Steps = 199, Reward = 200.00
Episode 0000017 : Steps = 199, Reward = 200.00
Episode 0000018 : Steps = 199, Reward = 200.00
Episode 0000019 : Steps = 199, Reward = 200.00
Episode 0000020 : Steps = 199, Reward = 200.00
Episode 0000021 : Steps = 199, Reward = 200.00
Episode 0000022 : Steps = 199, Reward = 200.00
Episode 0000023 : Steps = 199, Reward = 200.00
Episode 0000024 : Steps = 199, Reward = 200.00
Episode 0000025 : Steps = 199, Reward = 200.00
Episode 0000026 : Steps = 199, Reward = 200.00
Episode 0000027 : Steps = 199, Reward = 200.00
Episode 0000028 : Steps = 199, Reward = 200.00
Episode 0000029 : Steps = 199, Reward = 200.00
Episode 0000030 : Steps = 199, Reward = 200.00
Episode 0000031 : Steps = 199, Reward = 200.00
Episode 0000032 : Steps = 199, Reward = 200.00
Episode 0000033 : Steps = 199, Reward = 200.00
Episode 0000034 : Steps = 199, Reward = 200.00
Episode 0000035 : Steps = 199, Reward = 200.00
Episode 0000036 : Steps = 199, Reward = 200.00
Episode 0000037 : Steps = 199, Reward = 200.00
Episode 0000038 : Steps = 199, Reward = 200.00
Episode 0000039 : Steps = 199, Reward = 200.00
Episode 0000040 : Steps = 199, Reward = 200.00
Episode 0000041 : Steps = 199, Reward = 200.00
Episode 0000042 : Steps = 199, Reward = 200.00
Episode 0000043 : Steps = 199, Reward = 200.00
Episode 0000044 : Steps = 199, Reward = 200.00
Episode 0000045 : Steps = 199, Reward = 200.00
Episode 0000046 : Steps = 199, Reward = 200.00
Episode 0000047 : Steps = 199, Reward = 200.00
Episode 0000048 : Steps = 199, Reward = 200.00
Episode 0000049 : Steps = 199, Reward = 200.00
Episode 0000050 : Steps = 199, Reward = 200.00
Episode 0000051 : Steps = 199, Reward = 200.00
Episode 0000052 : Steps = 199, Reward = 200.00
Episode 0000053 : Steps = 199, Reward = 200.00
Episode 0000054 : Steps = 199, Reward = 200.00
Episode 0000055 : Steps = 199, Reward = 200.00
Episode 0000056 : Steps = 199, Reward = 200.00
Episode 0000057 : Steps = 199, Reward = 200.00
Episode 0000058 : Steps = 199, Reward = 200.00
Episode 0000059 : Steps = 199, Reward = 200.00
Episode 0000060 : Steps = 199, Reward = 200.00
Episode 0000061 : Steps = 199, Reward = 200.00
Episode 0000062 : Steps = 199, Reward = 200.00
Episode 0000063 : Steps = 199, Reward = 200.00
Episode 0000064 : Steps = 199, Reward = 200.00
Episode 0000065 : Steps = 199, Reward = 200.00
Episode 0000066 : Steps = 199, Reward = 200.00
Episode 0000067 : Steps = 199, Reward = 200.00
Episode 0000068 : Steps = 199, Reward = 200.00
Episode 0000069 : Steps = 199, Reward = 200.00
Episode 0000070 : Steps = 199, Reward = 200.00
Episode 0000071 : Steps = 199, Reward = 200.00
Episode 0000072 : Steps = 199, Reward = 200.00
Episode 0000073 : Steps = 199, Reward = 200.00
Episode 0000074 : Steps = 199, Reward = 200.00
Episode 0000075 : Steps = 199, Reward = 200.00
Episode 0000076 : Steps = 199, Reward = 200.00
Episode 0000077 : Steps = 199, Reward = 200.00
Episode 0000078 : Steps = 199, Reward = 200.00
Episode 0000079 : Steps = 199, Reward = 200.00
Episode 0000080 : Steps = 199, Reward = 200.00
Episode 0000081 : Steps = 199, Reward = 200.00
Episode 0000082 : Steps = 199, Reward = 200.00
Episode 0000083 : Steps = 199, Reward = 200.00
Episode 0000084 : Steps = 199, Reward = 200.00
Episode 0000085 : Steps = 199, Reward = 200.00
Episode 0000086 : Steps = 199, Reward = 200.00
Episode 0000087 : Steps = 199, Reward = 200.00
Episode 0000088 : Steps = 199, Reward = 200.00
Episode 0000089 : Steps = 199, Reward = 200.00
Episode 0000090 : Steps = 199, Reward = 200.00
Episode 0000091 : Steps = 199, Reward = 200.00
Episode 0000092 : Steps = 199, Reward = 200.00
Episode 0000093 : Steps = 199, Reward = 200.00
Episode 0000094 : Steps = 199, Reward = 200.00
Episode 0000095 : Steps = 199, Reward = 200.00
Episode 0000096 : Steps = 199, Reward = 200.00
Episode 0000097 : Steps = 199, Reward = 200.00
Episode 0000098 : Steps = 199, Reward = 200.00
Episode 0000099 : Steps = 199, Reward = 200.00
Episode 0000100 : Steps = 199, Reward = 200.00
********************************************************************************
Cumulative Reward: Mean= 200.000000, Std= 0.000000
********************************************************************************
